id,Moi,Temp,Ecp
354,32,26.1,94
355,57.2,26.2,101
356,50.6,26.1,72
357,60.6,26.1,67
358,56.9,26.1,91
359,50.1,26.1,89
387,34.3,26.5,69
388,29.9,26.5,69
389,26.5,26.4,61
390,36.6,26.3,54
391,38.3,26.3,69
392,46.1,26.3,64
393,38.2,26.3,68
394,51.1,26.2,60
395,44.9,26.2,58
360,51.3,26.4,64
361,48.7,26.4,66
362,53.2,26.5,65
363,56.6,26.5,69
364,53.3,26.5,71
365,53.5,26.6,108
